criterion,pre_registered_requirement,evidence,status,reason
Freshness structure,No qualitative failure,April age/norm Spearman 0.479595; May partial transfer; June six-bin minimum P99 0.992708,PASS_WITH_LIMITATION,"Freshness is useful conditioning, not a strict rowwise monotone law."
RTN anisotropy,No qualitative reversal,T-dominance April/May/June 96.2204%/96.2094%/97.2351%,PASS,Strong T dominance replicated across all months and all June bins.
Joint P99 external coverage,June pooled P99 >=98%,5360/5389=99.4619%; cluster CI 98.9915%-99.8530%,PASS,Untouched June primary endpoint passed.
Freshness-bin stability,No bin with n>=100 and P99<95%,Failures=0; minimum bin P99=99.2708%,PASS,All six populated bins exceed 99%.
Satellite-wise catastrophic failure,No stable repeated severe satellite failure,June minimum satellite P99=96.6038%; satellites below 95%=0,PASS_WITH_LIMITATION,"Heterogeneity remains, but no June catastrophic or stable repeated severe pattern."
Candidate complexity comparison,Ellipsoid earns complexity only with >=10% stable volume reduction and <=0.5 pp P99 degradation,Development Ellipsoid/Box P99 volume ratios month/LOSO/final=0.792/0.697/0.694; June Box advantage=0.1113 pp,PASS,Frozen Ellipsoid selection remains justified; Box confirms robustness.
Satellite-specific model necessity,No new stable fixed satellite-wide scale evidence,May rank persistence weak except N; June named satellites do not repeat severe joint undercoverage,PASS_WITH_LIMITATION,"Satellite-specific effects remain diagnostic, not required in primary."
Regime-detector necessity,Not necessary for downstream security conclusion,Frozen simple gate passes June without regime parameters; M3/M4 strict May transfer blocked by incomplete fitted-pipeline provenance,PASS_WITH_LIMITATION,Regime detector is optional/non-blocking; its transferability remains unevaluated.
Reference sensitivity,Must not reverse primary conclusion,"RMS Q4 P95=90.2747%, P99=99.1834%",PASS_WITH_LIMITATION,P95 sensitivity exists; Q4 P99 remains above the pooled success threshold.
Temporal nonstationarity,Handled by abstention/episodes without primary-rule failure,Max U99 episode=18.55 h; max U95=41.97 h,PASS_WITH_LIMITATION,"Temporal clustering remains a limitation, not a primary coverage failure."
6D necessity,Only extend if incremental security-decision value is established,June T-vR Pearson/Spearman=-0.999911/-0.999320; no 6D set built,PASS_WITH_LIMITATION,"Physical coupling replicates, but incremental decision value is unproven; NOT_NEEDED_YET."
Provenance/freeze integrity,Frozen and canonical artifacts unchanged; numerical audit passes,Frozen parameter SHA=6F17F8340BA14B5B48F7AEAFFD776F1D0A07B4D50F882B2AFCA73756F9FF55D1; June protected count=153; confirmatory correctness all passed,PASS,No provenance or numerical invalidation.
June-derived fitting,All June-derived fitted parameter counts equal zero,center/covariance/MAD-scale/threshold/bin/satellite/regime counts=0,PASS,June remained confirmatory test data.
Downstream readiness,All blocking stopping conditions pass,"P99, structural, geometry, provenance, and zero-fitting requirements pass",PASS,Stable uncertainty interface is ready for orbit-distinct to Doppler security.
