observation_id,previous_acceptance_status,reviewed_acceptance_status,rms_khz,measurements,detrended_std_hz,improvement_ratio,lag1_autocorr,quadratic_improvement_ratio,review_note
8493026,borderline,borderline,0.086,146,55.950919,0.345756,0.986022,0.660922,样本仍可解释，但至少存在一项明显风险，更适合作为扩展验证样本。 规则信号：去趋势后噪声偏高；lag1自相关仍偏强；二阶改善空间较大；rms较低
8535896,accepted,accepted,0.085,151,39.456366,0.535449,0.961489,0.556272,拟合质量和可解释性都较平衡，适合作为主分析池样本。 规则信号：rms较低；measurements充足；线性去趋势收益明显
8641460,accepted,accepted,0.055,157,30.882012,0.437512,0.952082,0.444008,样本整体很干净，虽然线性收益不大，但更像弱漂移/近常数偏置样本，适合作为主分析池基准端点。 规则信号：rms较低；measurements充足；去趋势后噪声较低；二阶额外改善空间有限
8707816,accepted,accepted,0.042,141,10.916891,0.738131,0.798753,0.000166,拟合质量和可解释性都较平衡，适合作为主分析池样本。 规则信号：measurements略少；rms较低；去趋势后噪声较低；线性去趋势收益明显；lag1自相关较低；二阶额外改善空间有限
8733468,accepted,accepted,0.192,149,23.215133,0.879042,0.917661,0.286871,虽然原始漂移较强，但线性项吸收充分，去趋势后噪声低，适合进入主分析池。 规则信号：rms偏高；去趋势后噪声较低；线性去趋势收益明显；二阶额外改善空间有限
8788317,borderline,borderline,0.103,154,46.321961,0.550504,0.982173,0.668008,样本仍可解释，但至少存在一项明显风险，更适合作为扩展验证样本。 规则信号：rms中等偏高；去趋势后噪声中等偏高；lag1自相关仍偏强；二阶改善空间较大；measurements充足；线性去趋势收益明显
8814142,borderline,borderline,0.064,156,49.309021,0.224804,0.955947,0.364807,样本仍可解释，但至少存在一项明显风险，更适合作为扩展验证样本。 规则信号：去趋势后噪声中等偏高；线性去趋势收益偏弱；rms较低；measurements充足；二阶额外改善空间有限
8823291,rejected,rejected,0.199,129,84.073326,0.577762,0.992429,0.750814,去趋势后噪声仍然过高，且伴随高rms或有效点数不足，更适合作为敏感性/异常样本。 规则信号：rms偏高；measurements偏少；去趋势后噪声很高；lag1自相关仍偏强；二阶改善空间较大
9424971,accepted,accepted,0.035,161,32.889947,0.064498,0.961303,0.546793,样本整体很干净，虽然线性收益不大，但更像弱漂移/近常数偏置样本，适合作为主分析池基准端点。 规则信号：线性去趋势收益偏弱；rms较低；measurements充足；去趋势后噪声较低
9462382,borderline,borderline,0.179,141,35.846446,0.799498,0.964889,0.619707,样本仍可解释，但至少存在一项明显风险，更适合作为扩展验证样本。 规则信号：rms偏高；measurements略少；线性去趋势收益明显
