metric_id,authoritative_value,unit,population,analysis_unit,source_artifact,interpretation
OU_JUNE_P99_COVERAGE,5360/5389 = 0.994619,fraction,untouched June; 0<age<=36h,historical evaluation epoch,outputs/metrics/orbit_uncertainty_final_evidence_matrix.csv,Meets preregistered pooled P99>=98% with zero structural-bin failures.
OU_JUNE_P99_CLUSTER_CI,"[0.989915, 0.998530]",95% satellite-cluster interval,untouched June,satellite cluster,outputs/reports/orbit_uncertainty_final_evidence_and_stopping_review.md,Reference-relative legitimate coverage uncertainty
OU_RTN_T_DOMINANCE,April/May/June = 0.962204/0.962094/0.972351,fraction,20-satellite Apr-Jun 2026 cohort,historical evaluation epoch,outputs/metrics/orbit_uncertainty_final_evidence_matrix.csv,Strong cross-month T dominance supports directional RTN representation over an isotropic norm-only sphere.
R1_PRIMARY_REPRODUCTION,64/64 units; 6280/6280 rows,count,semantics-compatible R1 population,unit and row,outputs/reports/causal_a_doppler_reconstruction_reproduction_validation_final_rerun_report.md,Causal-A wrapper is numerically/scientifically equivalent when A/B semantics are unchanged
R3_FROZEN_POPULATION,407 units; 26780 rows,count,R3 frozen core,LEVEL-A unit / observation realization,outputs/metrics/causal_a_doppler_r3_manifest.json,"Rows are within-unit outcomes, not independent orbit cases"
ORBIT_DECISIONS,23/119/265/0,NOT_ORBIT_DISTINCT/AMBIGUOUS/ORBIT_DISTINCT/DEFER units,R3 frozen core,LEVEL-A unit,outputs/metrics/causal_a_doppler_r3_manifest.json,Primary security population is the 265 ORBIT_DISTINCT units
OD_ACCEPTANCE_MEAN,0.3070566037735849,fraction,265 ORBIT_DISTINCT units,LEVEL-A unit,outputs/metrics/orbit_distinct_doppler_joint_analysis_manifest.json,Conditional verifier acceptance fraction under the controlled observation model
OD_ACCEPTANCE_MEDIAN_IQR,"0.3333333333333333 [0.0, 0.55]",fraction,265 ORBIT_DISTINCT units,LEVEL-A unit,outputs/metrics/orbit_distinct_doppler_joint_analysis_manifest.json,Primary descriptive distribution
OD_ACCEPTANCE_P10_P90_RANGE,"P10=0.0; P90=0.7; range=[0.0, 0.9666666666666668]",fraction,265 ORBIT_DISTINCT units,LEVEL-A unit,outputs/metrics/orbit_distinct_doppler_joint_analysis_manifest.json,Primary descriptive distribution
OD_ZERO_RARE_MIXED_HIGH_FULL,67/37/156/5/0,unit count,265 ORBIT_DISTINCT units,LEVEL-A unit,outputs/metrics/orbit_distinct_doppler_joint_analysis_manifest.json,Descriptive-only persistence labels
OD_NONZERO_UNITS,198,unit count,265 ORBIT_DISTINCT units,LEVEL-A unit,outputs/metrics/orbit_distinct_doppler_joint_analysis_manifest.json,Existence count; 198/265 is not an attack success rate
RHO99_ACCEPTANCE_SPEARMAN,-0.7506544357365847,Spearman rho,265 ORBIT_DISTINCT units,LEVEL-A unit,outputs/metrics/orbit_distinct_doppler_rho99_summary.csv,EXPLORATORY_DESCRIPTIVE for log10(rho99) vs conditional acceptance
RHO99_GT10,75/138 non-zero; median=0.02; max=0.6,unit count and fraction,rho99>10 descriptive subset,LEVEL-A unit,outputs/metrics/orbit_distinct_doppler_rho99_summary.csv,Acceptance is lower but does not vanish far beyond rho99=1
RHO99_GT1000,36/68 non-zero; median=0.02; max=0.35,unit count and fraction,rho99>1000 descriptive subset,LEVEL-A unit,outputs/metrics/orbit_distinct_doppler_rho99_summary.csv,Far-from-boundary descriptive robustness check
MULTIPASS_PERSISTENCE,0/10 pairs,pair count,10 real pairs; 40 ORBIT_DISTINCT passes,physical A/B pair,outputs/metrics/orbit_distinct_doppler_multipass_summary.csv,No pair had non-zero conditional acceptance on multiple studied passes
ACTIVE_COMPENSATION_ACCEPT,none=0/30; subpoint-A=0/30; direct-S ideal=25/30,paired condition count,30 ORBIT_DISTINCT real-B units,paired LEVEL-A condition,outputs/metrics/orbit_distinct_doppler_compensation_summary.csv,Direct-S ideal is an idealized upper-bound condition
REJECT_GATE_SCORE_B_K,5417,row count,ORBIT_DISTINCT primary endpoint rows,observation row,outputs/metrics/orbit_distinct_doppler_gate_attribution.csv,Largest exclusive row-level reject mechanism; not primary security weighting
REJECT_GATE_K_ONLY,5133,row count,ORBIT_DISTINCT primary endpoint rows,observation row,outputs/metrics/orbit_distinct_doppler_gate_attribution.csv,Second-largest exclusive row-level reject mechanism
FAMILY_DIRECTION,"N=29; rho99 median[IQR]=1415.4773291238748[86.22863414362094,1797.201635823788]; acceptance median[IQR]=0.04[0.02,0.04]; zero/nonzero/high/full=2/27/0/0",LEVEL-A summary,ORBIT_DISTINCT family subset,LEVEL-A unit,outputs/metrics/orbit_distinct_doppler_family_summary.csv,Paper primary table row
FAMILY_ALTITUDE,"N=166; rho99 median[IQR]=4.291110227697342[2.1413316655888552,10.73198377211516]; acceptance median[IQR]=0.5[0.1666666666666666,0.6333333333333333]; zero/nonzero/high/full=25/141/5/0",LEVEL-A summary,ORBIT_DISTINCT family subset,LEVEL-A unit,outputs/metrics/orbit_distinct_doppler_family_summary.csv,Paper primary table row
FAMILY_MULTI_PASS,"N=40; rho99 median[IQR]=1642.9315278235558[1374.528979040225,2034.7460846149863]; acceptance median[IQR]=0.0[0.0,0.0]; zero/nonzero/high/full=35/5/0/0",LEVEL-A summary,ORBIT_DISTINCT family subset,LEVEL-A unit,outputs/metrics/orbit_distinct_doppler_family_summary.csv,Paper primary table row
FAMILY_ACTIVE_COMPENSATION,"N=30; rho99 median[IQR]=1549.1338376625492[897.2394839687661,2248.268563639083]; acceptance median[IQR]=0.3333333333333333[0.3333333333333333,0.3333333333333333]; zero/nonzero/high/full=5/25/0/0",LEVEL-A summary,ORBIT_DISTINCT family subset,LEVEL-A unit,outputs/metrics/orbit_distinct_doppler_family_summary.csv,Paper primary table row
