evidence_level,topic,authoritative_artifacts,evidence,interpretation,status
LEVEL_1_DATA_PROVENANCE_VALIDITY,Causal ordinary-GP selection,April/May/June Stage-1A and Stage-1B manifests,"All 5675/6181/5927 epochs have causal candidates; future-publication use, selected future epoch, and negative ages are zero.",Historical predictions are causally reconstructable.,SUPPORTED
LEVEL_1_DATA_PROVENANCE_VALIDITY,Reference semantics,April/May/June Stage-1B manifests,SpaceX-E/SupGP is consistently identified as a higher-quality historical reference.,"Residuals are ordinary-GP disagreement relative to reference, not true-orbit error.",SUPPORTED_WITH_SCOPE
LEVEL_1_DATA_PROVENANCE_VALIDITY,June GT72 completeness,June GT72 completeness manifest,25 rows; targeted/current records 65/65; missing causal-newer records=0.,"GT72 cases are real causal public-data staleness, not acquisition omission.",SUPPORTED
LEVEL_1_DATA_PROVENANCE_VALIDITY,Readiness amendment,CAUSAL_DATA_READINESS_V2 manifest,72 h clarified as engineering readiness; Stage-1F scientific protocol changed=false.,The amendment is not post-hoc uncertainty-model tuning.,SUPPORTED
LEVEL_2_REPLICATED_ORBIT_ERROR_STRUCTURE,Freshness dependence,April Stage-1C; May external validation; June bin coverage,April age/norm Spearman=0.479595; May M0 partially supported; June minimum bin P99=0.992708.,Conditional error scale depends statistically on element age; strict rowwise monotonicity is not claimed.,SUPPORTED_WITH_LIMITATION
LEVEL_2_REPLICATED_ORBIT_ERROR_STRUCTURE,RTN anisotropy,Stage-1F signed RTN summary; June structural replication,T-dominance April/May/June=0.962204/0.962094/0.972351.,Strong cross-month T dominance supports directional RTN representation over an isotropic norm-only sphere.,REPLICATED
LEVEL_2_REPLICATED_ORBIT_ERROR_STRUCTURE,Position/velocity coupling,Stage-1F velocity diagnostic,"June corr(delta_T,delta_v_R): Pearson=-0.999911, Spearman=-0.999320.","Coupling replicates, but incremental security value of a 6D set is unproven.",SUPPORTED_DIAGNOSTIC
LEVEL_3_CALIBRATION_TRANSFERABILITY,Publication age,May partial locked external validation,M1=NOT_SUPPORTED after April-to-May transfer.,Drop from primary; no claim that publication age is universally irrelevant.,NOT_SUPPORTED_FOR_MAINLINE
LEVEL_3_CALIBRATION_TRANSFERABILITY,Satellite-wide fixed scale,May satellite persistence; June satellite coverage,May M2=PARTIALLY_SUPPORTED; P95 rank persistence R/T/N/norm=0.188/0.182/0.686/0.182; June has no satellite P99<95%.,No sufficiently stable scalar effect requiring a satellite-specific primary model.,NOT_SUFFICIENTLY_SUPPORTED
LEVEL_3_CALIBRATION_TRANSFERABILITY,Causal regime model,Stage-1E; May model recoverability; June confirmatory,M3/M4 statuses=BLOCKED_PARAMETER_PROVENANCE/BLOCKED_PARAMETER_PROVENANCE; simple frozen gate passes June.,"Strict M3/M4 transfer was unavailable, but regime modeling is non-blocking for the final primary model.",NON_BLOCKING_LIMITATION
LEVEL_4_FINAL_JOINT_UNCERTAINTY_GATE,Frozen joint representation,Stage-1F freeze manifest and parameters,Signed 3D RTN robust center/covariance shape with empirical score quantiles; Gaussian chi-square not used.,Freshness-Conditioned Robust Empirical RTN Ellipsoid is the final primary model.,FROZEN
LEVEL_4_FINAL_JOINT_UNCERTAINTY_GATE,Untouched June P99,June confirmatory manifest,"5360/5389=0.994619; cluster CI [0.989915,0.998530].",Meets preregistered pooled P99>=98% with zero structural-bin failures.,CONFIRMATORY_SUPPORTED
LEVEL_4_FINAL_JOINT_UNCERTAINTY_GATE,Box sensitivity,Stage-1F freeze and June confirmatory manifests,Box P99=0.995732 vs Ellipsoid=0.994619; development final volume ratio=0.694360.,June success is not fragile to geometry; Ellipsoid remains primary under the frozen complexity rule.,PASS
LEVEL_5_LIMITATIONS_NON_GENERALIZABLE,P95 calibration,June confirmatory manifest,"P95=0.936909; cluster CI [0.909720,0.961497].",Secondary calibration is less stable than conservative P99; it does not override the primary rule.,LIMITATION
LEVEL_5_LIMITATIONS_NON_GENERALIZABLE,Temporal nonstationarity,June continuous episode output,U99 episodes=9; max duration=18.55 h.,Pointwise exceedances cluster in time; no maneuver attribution.,LIMITATION
LEVEL_5_LIMITATIONS_NON_GENERALIZABLE,Reference sensitivity,June RMS diagnostic,Q1/Q4 P95=0.947329/0.902747; Q4 P99=0.991834.,"Bulk P95 varies with RMS proxy, while P99 conclusion is not reversed; RMS remains reference-only.",LIMITATION
LEVEL_5_LIMITATIONS_NON_GENERALIZABLE,Population and support,Freeze and June confirmatory manifests,"20 same-shell Starlink satellites, April-June 2026, formal support 0<age<=36 h.","No universal Starlink, all-LEO, or >36 h validity claim.",LIMITATION
LEVEL_6_STOPPING_DECISION,Branch stopping,Stage-1F preregistered stopping rule plus all evidence above,All blocking criteria pass; remaining issues are scoped limitations or diagnostics.,Stop uncertainty-model optimization and proceed to the security bridge.,ORBIT_UNCERTAINTY_BRANCH_COMPLETE
