CLAIM_ID,claim_strength,allowed_wording,population,analysis_unit,limitation,supporting_artifact,supporting_metric
C1_ORBIT_DISTINCT_ACCEPTANCE_EXISTS,DIRECTLY_SUPPORTED,Orbit-distinct yet Doppler-accepted units exist in the frozen causal-A core population.,265 ORBIT_DISTINCT units,LEVEL-A unit,Controlled observation model; structurally selected core families; not operational prevalence.,outputs/metrics/orbit_distinct_doppler_primary_unit_summary.csv,198/265 units have acceptance_fraction>0; ZERO/RARE/MIXED/HIGH/FULL=67/37/156/5/0
C2_AMBIGUITY_DECAYS_WITH_RHO99,SUPPORTED_WITH_LIMITATION,"In the frozen population, acceptance generally decreased with rho99 but persisted well beyond the boundary.",265 ORBIT_DISTINCT units,LEVEL-A unit,Association is influenced by controlled-altitude gradient and family composition; no causal or universal monotonic model.,outputs/metrics/orbit_distinct_doppler_rho99_summary.csv,Spearman rho=-0.750654; rho99>10 has 75/138 non-zero and median=0.02; rho99>1000 has 36/68 non-zero
C3_KM_NOT_ORBIT_GATE,DIRECTLY_SUPPORTED,Fixed physical distance does not imply fixed orbit distinctness under the frozen uncertainty gate.,407 frozen LEVEL-A units,LEVEL-A unit,Model is cohort/time/reference limited.,outputs/metrics/orbit_distinct_doppler_physical_rho99_summary.csv,"Within (100,1000] km, rho99 ranges 1.97 to 86.2; gate depends on freshness, signed RTN, covariance and c99"
C4_DIRECTION_GEOMETRY_EFFECT,SUPPORTED_WITH_LIMITATION,Doppler acceptance retained direction and receiver-geometry dependence after orbit normalization in the studied direction family.,29 direction-family ORBIT_DISTINCT units,LEVEL-A unit with frozen condition strata,Condition-level descriptive result; RTN dominant-direction strata are small; no formal hypothesis test.,outputs/metrics/orbit_distinct_doppler_direction_summary.csv,29 ORBIT_DISTINCT direction units; phi=0 condition median=0.25 while most other bearings have median=0
C5_MULTIPASS_REDUCES_PERSISTENCE,SUPPORTED_WITH_LIMITATION,"In the studied real pairs, requiring repeatability across passes reduced single-pass ambiguity.",10 real pairs / 40 ORBIT_DISTINCT passes,physical A/B pair,"Limited pairs/passes and geometry; descriptive repeatability, not a guarantee.",outputs/metrics/orbit_distinct_doppler_multipass_summary.csv,0/10 pairs non-zero on multiple passes; 5 all-zero and 5 exactly one non-zero pass
C6_DIRECT_S_IDEAL_BOUND,SUPPORTED_WITH_LIMITATION,"The direct-S ideal upper-bound condition changed 25/30 paired decisions from REJECT to ACCEPT, unlike subpoint-A.",30 ORBIT_DISTINCT real-B units,exact paired LEVEL-A condition,Direct-S ideal is an idealized receiver-specific upper-bound capability; not operational feasibility.,outputs/metrics/orbit_distinct_doppler_compensation_summary.csv,"Exact paired ACCEPT: none 0/30, subpoint-A 0/30, direct-S ideal 25/30"
OU1_FRESHNESS_CONDITIONING,SUPPORTED_WITH_LIMITATION,Element age is a supported conditioning variable for this empirical disagreement scale.,"20 same-shell satellites, Apr-Jun 2026",historical evaluation epoch,Not strictly rowwise monotonic; reference-relative disagreement only.,outputs/metrics/orbit_uncertainty_final_evidence_matrix.csv,April age/norm Spearman=0.479595; June minimum freshness-bin P99=99.2708%
OU2_RTN_ANISOTROPY,DIRECTLY_SUPPORTED,Signed RTN representation retains replicated directional structure omitted by a norm-only sphere.,"20 same-shell satellites, Apr-Jun 2026",historical evaluation epoch,Cohort/time/reference limited.,outputs/metrics/orbit_uncertainty_final_evidence_matrix.csv,T dominance April/May/June=96.2204%/96.2094%/97.2351%
OU3_UNTOUCHED_JUNE_P99,DIRECTLY_SUPPORTED,The frozen empirical P99 gate achieved 99.4619% legitimate reference-relative joint coverage on untouched June.,Untouched June; 0<age<=36h,historical evaluation epoch,"SupGP is higher-quality historical reference, not ground truth; P95 undercoverage remains.",outputs/metrics/orbit_uncertainty_final_evidence_matrix.csv,5360/5389=99.4619%; satellite-cluster CI 98.9915%-99.8530%
M1_RECONSTRUCTION_EQUIVALENCE,DIRECTLY_SUPPORTED,"When A/B/time/randomness semantics are fixed, the reconstruction wrapper reproduces authoritative verifier behavior.",R1 semantics-compatible population,unit and observation row,Historical reproduction tolerances are not verifier science thresholds.,outputs/reports/causal_a_doppler_reconstruction_reproduction_validation_final_rerun_report.md,64/64 units and 6280/6280 rows; all categorical mismatches=0; verifier-v2 200/200
