CLAIM_ID,claim_text,claim_strength,supporting_artifact,supporting_metric,population,analysis_unit,scope,limitation,allowed_wording,prohibited_stronger_wording,proposed_claim_adjudication
C1_ORBIT_DISTINCT_ACCEPTANCE_EXISTS,在 studied cohort / frozen core population 中，超出 legitimate P99 public-orbit uncertainty 的 candidate B 仍存在 Doppler ACCEPT。,DIRECTLY_SUPPORTED,outputs/metrics/orbit_distinct_doppler_primary_unit_summary.csv,198/265 units have acceptance_fraction>0; ZERO/RARE/MIXED/HIGH/FULL=67/37/156/5/0,265 ORBIT_DISTINCT units,LEVEL-A unit,Frozen causal-A core population,Controlled observation model; structurally selected core families; not operational prevalence.,Orbit-distinct yet Doppler-accepted units exist in the frozen causal-A core population.,198/265 attacks succeed; Starlink attack success rate; Doppler verification is insecure in general.,SUPPORTED
C2_AMBIGUITY_DECAYS_WITH_RHO99,Ambiguity 随 uncertainty-normalized orbit separation 增大而明显减弱，但不会在 rho99=1 之外立即消失。,SUPPORTED_WITH_LIMITATION,outputs/metrics/orbit_distinct_doppler_rho99_summary.csv,Spearman rho=-0.750654; rho99>10 has 75/138 non-zero and median=0.02; rho99>1000 has 36/68 non-zero,265 ORBIT_DISTINCT units,LEVEL-A unit,Exploratory descriptive association,Association is influenced by controlled-altitude gradient and family composition; no causal or universal monotonic model.,"In the frozen population, acceptance generally decreased with rho99 but persisted well beyond the boundary.",A universal safe rho99 threshold; rho99 causally determines acceptance; rho99>1 means attack.,SUPPORTED_WITH_LIMITATION
C3_KM_NOT_ORBIT_GATE,Physical separation in km cannot replace freshness-conditioned RTN uncertainty-normalized distance.,DIRECTLY_SUPPORTED,outputs/metrics/orbit_distinct_doppler_physical_rho99_summary.csv,"Within (100,1000] km, rho99 ranges 1.97 to 86.2; gate depends on freshness, signed RTN, covariance and c99",407 frozen LEVEL-A units,LEVEL-A unit,Frozen empirical ellipsoid interface,Model is cohort/time/reference limited.,Fixed physical distance does not imply fixed orbit distinctness under the frozen uncertainty gate.,5 km is unsafe; 10 km is safe; a universal kilometer boundary.,SUPPORTED
C4_DIRECTION_GEOMETRY_EFFECT,Direction / receiver geometry affects Doppler distinguishability among orbit-distinct cases.,SUPPORTED_WITH_LIMITATION,outputs/metrics/orbit_distinct_doppler_direction_summary.csv,29 ORBIT_DISTINCT direction units; phi=0 condition median=0.25 while most other bearings have median=0,29 direction-family ORBIT_DISTINCT units,LEVEL-A unit with frozen condition strata,Segment-local direction family,Condition-level descriptive result; RTN dominant-direction strata are small; no formal hypothesis test.,Doppler acceptance retained direction and receiver-geometry dependence after orbit normalization in the studied direction family.,Direction universally determines risk; statistically significant direction law; all constellations share this anisotropy.,SUPPORTED_WITH_LIMITATION
C5_MULTIPASS_REDUCES_PERSISTENCE,Studied real-pair multi-pass cases do not show stable cross-pass persistence of single-pass ambiguity.,SUPPORTED_WITH_LIMITATION,outputs/metrics/orbit_distinct_doppler_multipass_summary.csv,0/10 pairs non-zero on multiple passes; 5 all-zero and 5 exactly one non-zero pass,10 real pairs / 40 ORBIT_DISTINCT passes,physical A/B pair,Frozen same-pair multi-pass family,"Limited pairs/passes and geometry; descriptive repeatability, not a guarantee.","In the studied real pairs, requiring repeatability across passes reduced single-pass ambiguity.",Multi-pass guarantees security; these pairs are permanently safe; universal multi-pass acceptance rate.,SUPPORTED_WITH_LIMITATION
C6_DIRECT_S_IDEAL_BOUND,Ideal direct-S compensation can substantially weaken single-station Doppler discrimination.,SUPPORTED_WITH_LIMITATION,outputs/metrics/orbit_distinct_doppler_compensation_summary.csv,"Exact paired ACCEPT: none 0/30, subpoint-A 0/30, direct-S ideal 25/30",30 ORBIT_DISTINCT real-B units,exact paired LEVEL-A condition,Frozen active-compensation family,Direct-S ideal is an idealized receiver-specific upper-bound capability; not operational feasibility.,"The direct-S ideal upper-bound condition changed 25/30 paired decisions from REJECT to ACCEPT, unlike subpoint-A.",Direct-S compensation is realistic; 25/30 is a real attack success rate; one compensation fools all receivers.,SUPPORTED_WITH_LIMITATION
OU1_FRESHNESS_CONDITIONING,Public ordinary-GP disagreement depends statistically on freshness in the studied data.,SUPPORTED_WITH_LIMITATION,outputs/metrics/orbit_uncertainty_final_evidence_matrix.csv,April age/norm Spearman=0.479595; June minimum freshness-bin P99=99.2708%,"20 same-shell satellites, Apr-Jun 2026",historical evaluation epoch,Supporting uncertainty method,Not strictly rowwise monotonic; reference-relative disagreement only.,Element age is a supported conditioning variable for this empirical disagreement scale.,Every error increases monotonically with age; 36 h is universal validity.,SUPPORTED_WITH_LIMITATION
OU2_RTN_ANISOTROPY,Position disagreement shows replicated RTN anisotropy with T dominance.,DIRECTLY_SUPPORTED,outputs/metrics/orbit_uncertainty_final_evidence_matrix.csv,T dominance April/May/June=96.2204%/96.2094%/97.2351%,"20 same-shell satellites, Apr-Jun 2026",historical evaluation epoch,Supporting uncertainty method,Cohort/time/reference limited.,Signed RTN representation retains replicated directional structure omitted by a norm-only sphere.,Universal Starlink/LEO anisotropy; true covariance.,SUPPORTED
OU3_UNTOUCHED_JUNE_P99,Frozen April+May ellipsoid transfers at P99 to untouched June within its support.,DIRECTLY_SUPPORTED,outputs/metrics/orbit_uncertainty_final_evidence_matrix.csv,5360/5389=99.4619%; satellite-cluster CI 98.9915%-99.8530%,Untouched June; 0<age<=36h,historical evaluation epoch,Supporting uncertainty validation,"SupGP is higher-quality historical reference, not ground truth; P95 undercoverage remains.",The frozen empirical P99 gate achieved 99.4619% legitimate reference-relative joint coverage on untouched June.,99.4619% true-orbit accuracy; attack detection accuracy; P99 is an industry standard.,SUPPORTED
M1_RECONSTRUCTION_EQUIVALENCE,Causal-A reconstruction wrapper reuses authoritative verifier science without implementation divergence.,DIRECTLY_SUPPORTED,outputs/reports/causal_a_doppler_reconstruction_reproduction_validation_final_rerun_report.md,64/64 units and 6280/6280 rows; all categorical mismatches=0; verifier-v2 200/200,R1 semantics-compatible population,unit and observation row,Implementation provenance,Historical reproduction tolerances are not verifier science thresholds.,"When A/B/time/randomness semantics are fixed, the reconstruction wrapper reproduces authoritative verifier behavior.",R1 proves new causal-A scientific outcomes equal legacy outcomes.,SUPPORTED
N1_REAL_WORLD_PROBABILITY,A real-world attack success probability can be estimated from the frozen controlled population.,NOT_SUPPORTED,outputs/reports/orbit_distinct_doppler_joint_security_analysis.md,Controlled observation model and result-blind structural population; unequal family designs,Frozen core population,N/A,Outside evidence scope,No operational attack sampling model or service scheduling reconstruction.,No probability wording is allowed.,Starlink attack success rate = 198/265 or any row-pooled fraction.,TOO_STRONG
